year,from,to,count
2018,Line_wrap_and_word_wrap,Non-breaking_space,164
2018,ASCII,Mac_OS_Celtic,206
2018,Hyphen,Movable_type,155
2018,Unicode,List_of_typefaces,492
2018,Typographic_alignment,Glyph,67
2018,Dagger_(typography),Glyph,662
2018,QWERTY,Maltron,353
2018,Programming_language,Imperative_programming,1406
2018,Ampersand,Wingdings,232
2018,Copyright_symbol,Hyphen,415
2018,Character_(computing),Homoglyph,430
2018,Byline,Signature_block,222
2018,Syllable,Glottal_stop,114
2018,Edition_(book),Typography,91
2018,Quotation_mark,Apostrophe,3781
2018,ASCII,Bit-paired_keyboard,341
2018,Dollar_sign,Asterisk,551
2018,Asterism_(typography),Asterisk,677
2018,Typography,Francesco_Griffo,173
2018,Slash_(punctuation),Federal_government_of_the_United_States,83
2018,Subscript_and_superscript,Hyphen-minus,162
2018,Caps_lock,Hyphen-minus,138
2018,Synchronous_Idle,ASCII,123
2018,Delete_character,ASCII,293
2018,List_of_command-line_interpreters,Command-line_interface,459
2018,Debian,Command-line_interface,816
2018,Glyph,Paren_space,109
2018,Comma,English_language,95
2018,Colon_(punctuation),Ratio,921
2018,Asterisk,Multiplication_sign,82
2018,Colon_(punctuation),Sof_passuk,169
2018,Epsilon,Unicode,134
2018,Russian_Orthodox_cross,Unicode,219
2018,Unicode,Emoji,4184
2018,Currency_symbol,Quinarius,33
2018,Percent-encoding,Ampersand,868
2018,ASCII,Code_page,218
2018,Debit_note,Document,109
2018,Apostrophe,Modifier_letter_apostrophe,203
2018,ASCII,Code_page_1288,202
2018,Tilde,Japanese_yen,46
2018,Typography,Property_designer,96
2018,Slash_(punctuation),Anglo-American_Cataloguing_Rules,137
2018,Unicode,International_Standard_Book_Number,240
2018,Colon,Colon_(punctuation),10460
2018,ASCII,Text_editor,180
2018,Swedish_krona,Currency_symbol,259
2018,Ethiopian_birr,Currency_symbol,21
2018,Trademark_symbol,List_of_logic_symbols,194
2018,ASCII,EBCDIC_251,135
2018,Unicode,Ol_Chiki_script,394
2018,Full_stop,Komejirushi,80
2018,Asterisk,Hyphen,112
2018,Bullet_(typography),Dash,404
2018,Unicode,Source_code,206
2018,Irvine_Welsh,Typography,184
2018,Geometric_Shapes,Box-drawing_character,303
2018,Slash_(punctuation),Slash_fiction,151
2018,Asterisk_(disambiguation),Asterisk,389
2018,Serif,Hyphen-minus,139
2018,Whitespace_character,Interpunct,220
2018,Microsoft_Small_Basic,Programming_language,40
2018,Software_construction,Programming_language,125
2018,ASCII,MARC-8,216
2018,ISO/IEC_8859-1,ASCII,1447
2018,ASCII,IBM_AIX,153
2018,Cartesian_coordinate_system,Bracket,153
2018,Prime_(symbol),Bracket,139
2018,Dig_(command),Command-line_interface,176
2018,Prosody_(linguistics),Syllable,1420
2018,ASCII,Model_M_keyboard,301
2018,Interpunct,Tie_(typography),47
2018,Tilde,APL_syntax_and_symbols,146
2018,Scorpio_(astrology),Plus_and_minus_signs,4923
2018,Old_Persian_cuneiform,Word_divider,10
2018,Punctuation,Time,34
2018,Unicode,Gmail,154
2018,Programming_language,Programming_paradigm,2186
2018,Typography,Game_art_design,92
2018,Currency_symbol,Swiss_franc,155
2018,Slash_(punctuation),Improvisation,132
2018,Character_(computing),Dependent_type,79
2018,Document,Bates_numbering,101
2018,Obelus,Asterism_(typography),206
2018,Currency_symbol,Australian_dollar,190
2018,Full_stop,Glyph,271
2018,Typesetting,Glyph,452
2018,Logical_connective,List_of_logic_symbols,612
2018,Punctuation,Komejirushi,368
2018,Slash_(punctuation),Dash,1883
2018,Punctuation_of_English,Dash,404
2018,Overline,Typography,32
2018,Punctuation,Vertical_bar,501
2018,Unicode,Parthian_language,170
2018,Command-line_interface,Environment_variable,415
2018,Calligraphy,Hyphen-minus,1278
2018,Apple_Inc.,Programming_language,568
2018,R_(programming_language),Programming_language,7200
2018,List_of_logic_symbols,Vacuous_truth,714
2018,Currency_symbol,Brazilian_cruzeiro,555
